Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.741430,2.741430,2.726610,2.741430,0.388729,7948
2000-01-04,2.726610,2.741430,2.726610,2.741430,0.388729,3179
2000-01-05,2.726610,2.741430,2.726610,2.741430,0.388729,3974
2000-01-06,2.741430,2.741430,2.741430,2.741430,0.388729,0
2000-01-07,2.726610,2.741430,2.726610,2.741430,0.388729,2649
2000-01-10,2.726610,2.726610,2.726610,2.726610,0.386627,6756
2000-01-11,2.711790,2.726610,2.711790,2.726610,0.386627,3444
2000-01-12,2.711790,2.726610,2.711790,2.726610,0.386627,2437
2000-01-13,2.726610,2.726610,2.726610,2.726610,0.386627,10067
2000-01-14,2.726610,2.726610,2.726610,2.726610,0.386627,4027
2000-01-17,2.726610,2.726610,2.711790,2.711790,0.384526,21592
2000-01-18,2.682150,2.711790,2.682150,2.711790,0.384526,2702
2000-01-19,2.682150,2.682150,2.682150,2.682150,0.380323,7153
2000-01-20,2.682150,2.682150,2.682150,2.682150,0.380323,11074
2000-01-21,2.696970,2.696970,2.637700,2.637700,0.374020,26493
2000-01-24,2.711790,2.711790,2.711790,2.711790,0.384526,18837
2000-01-25,2.726610,2.726610,2.726610,2.726610,0.386627,9140
2000-01-26,2.711790,2.726610,2.711790,2.726610,0.386627,662
2000-01-27,2.726610,2.726610,2.726610,2.726610,0.386627,5299
2000-01-28,2.726610,2.726610,2.726610,2.726610,0.386627,0
2000-01-31,2.726610,2.726610,2.726610,2.726610,0.386627,4504
2000-02-01,2.756240,2.756240,2.756240,2.756240,0.390829,50920
2000-02-02,2.741430,2.741430,2.741430,2.741430,0.388729,5325
2000-02-03,2.726610,2.741430,2.726610,2.741430,0.388729,3338
2000-02-04,2.726610,2.741430,2.726610,2.741430,0.388729,3974
2000-02-07,2.726610,2.741430,2.726610,2.741430,0.388729,2649
2000-02-08,2.711790,2.711790,2.711790,2.711790,0.384526,9273
2000-02-09,2.711790,2.711790,2.711790,2.711790,0.384526,7948
2000-02-10,2.711790,2.711790,2.711790,2.711790,0.384526,2119
2000-02-11,2.711790,2.711790,2.711790,2.711790,0.384526,2914
2000-02-14,2.711790,2.711790,2.711790,2.711790,0.384526,6623
2000-02-15,2.711790,2.711790,2.711790,2.711790,0.384526,3974
2000-02-16,2.711790,2.711790,2.711790,2.711790,0.384526,4610
2000-02-17,2.726610,2.726610,2.711790,2.711790,0.384526,2914
2000-02-18,2.711790,2.711790,2.711790,2.711790,0.384526,3974
2000-02-21,2.696970,2.696970,2.696970,2.696970,0.382424,21937
2000-02-22,2.696970,2.696970,2.696970,2.696970,0.382424,0
2000-02-23,2.711790,2.711790,2.696970,2.696970,0.382424,5299
2000-02-24,2.711790,2.711790,2.696970,2.696970,0.382424,1457
2000-02-25,2.726610,2.726610,2.726610,2.726610,0.386627,6199
2000-02-28,2.756240,2.756240,2.756240,2.756240,0.390829,20665
2000-02-29,2.726610,2.756240,2.726610,2.756240,0.390829,3656
2000-03-01,2.726610,2.756240,2.726610,2.756240,0.390829,2278
2000-03-02,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-03-03,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-03-06,2.741430,2.756240,2.726610,2.756240,0.390829,5034
2000-03-07,2.741430,2.756240,2.741430,2.756240,0.390829,3312
2000-03-08,2.741430,2.756240,2.741430,2.756240,0.390829,2649
2000-03-09,2.756240,2.756240,2.756240,2.756240,0.390829,8743
2000-03-10,2.756240,2.756240,2.756240,2.756240,0.390829,3206
2000-03-13,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-03-14,2.741430,2.756240,2.741430,2.756240,0.390829,35369
2000-03-15,2.756240,2.756240,2.756240,2.756240,0.390829,9087
2000-03-16,2.756240,2.756240,2.756240,2.756240,0.390829,8796
2000-03-17,2.756240,2.756240,2.741430,2.756240,0.390829,6093
2000-03-20,2.756240,2.756240,2.756240,2.756240,0.390829,15658
2000-03-21,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-03-22,2.756240,2.756240,2.756240,2.756240,0.390829,137792
2000-03-23,2.785880,2.785880,2.756240,2.756240,0.390829,1510
2000-03-24,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-03-27,2.756240,2.756240,2.756240,2.756240,0.390829,7153
2000-03-28,2.756240,2.756240,2.756240,2.756240,0.390829,795
2000-03-29,2.756240,2.756240,2.756240,2.756240,0.390829,7948
2000-03-30,2.741430,2.756240,2.741430,2.756240,0.390829,2305
2000-03-31,2.756240,2.756240,2.711790,2.756240,0.390829,4954
2000-04-03,2.741430,2.756240,2.741430,2.756240,0.390829,530
2000-04-04,2.756240,2.756240,2.741430,2.756240,0.390829,3073
2000-04-05,2.756240,2.756240,2.756240,2.756240,0.390829,7180
2000-04-06,2.711790,2.756240,2.711790,2.756240,0.390829,8663
2000-04-07,2.711790,2.711790,2.711790,2.711790,0.384526,5802
2000-04-10,2.711790,2.711790,2.711790,2.711790,0.384526,2570
2000-04-11,2.711790,2.711790,2.711790,2.711790,0.384526,1643
2000-04-12,2.741430,2.741430,2.711790,2.711790,0.384526,1325
2000-04-13,2.741430,2.741430,2.711790,2.711790,0.384526,2649
2000-04-14,2.711790,2.711790,2.711790,2.711790,0.384526,3232
2000-04-17,2.682150,2.696970,2.682150,2.696970,0.382424,8690
2000-04-18,2.696970,2.696970,2.696970,2.696970,0.382424,0
2000-04-19,2.756240,2.756240,2.726610,2.726610,0.386627,5458
2000-04-20,2.756240,2.756240,2.726610,2.726610,0.386627,3047
2000-04-21,2.726610,2.726610,2.726610,2.726610,0.386627,0
2000-04-24,2.726610,2.726610,2.726610,2.726610,0.386627,0
2000-04-25,2.711790,2.711790,2.711790,2.711790,0.384526,5829
2000-04-26,2.756240,2.756240,2.711790,2.711790,0.384526,795
2000-04-27,2.711790,2.711790,2.711790,2.711790,0.384526,0
2000-04-28,2.756240,2.756240,2.711790,2.711790,0.384526,1510
2000-05-01,2.711790,2.711790,2.711790,2.711790,0.384526,0
2000-05-02,2.726610,2.726610,2.711790,2.711790,0.384526,742
2000-05-03,2.711790,2.711790,2.711790,2.711790,0.384526,5299
2000-05-04,2.756240,2.756240,2.756240,2.756240,0.390829,5299
2000-05-05,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-05-08,2.741430,2.756240,2.741430,2.756240,0.390829,3974
2000-05-09,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-05-10,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-05-11,2.711790,2.711790,2.711790,2.711790,0.384526,6941
2000-05-12,2.711790,2.711790,2.711790,2.711790,0.384526,0
2000-05-15,2.711790,2.711790,2.711790,2.711790,0.384526,1961
2000-05-16,2.726610,2.726610,2.711790,2.711790,0.384526,265
2000-05-17,2.711790,2.711790,2.711790,2.711790,0.384526,609
2000-05-18,2.726610,2.726610,2.711790,2.711790,0.384526,1219
2000-05-19,2.756240,2.756240,2.711790,2.711790,0.384526,1060
2000-05-22,2.756240,2.756240,2.711790,2.711790,0.384526,1987
2000-05-23,2.756240,2.756240,2.756240,2.756240,0.390829,10544
2000-05-24,2.756240,2.756240,2.756240,2.756240,0.390829,11392
2000-05-25,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-05-26,2.726610,2.756240,2.726610,2.756240,0.390829,3179
2000-05-29,2.711790,2.711790,2.711790,2.711790,0.384526,7842
2000-05-30,2.711790,2.711790,2.711790,2.711790,0.384526,9273
2000-05-31,2.682150,2.711790,2.682150,2.711790,0.384526,371
2000-06-01,2.711790,2.711790,2.711790,2.711790,0.384526,2914
2000-06-02,2.711790,2.711790,2.711790,2.711790,0.384526,3179
2000-06-05,2.711790,2.711790,2.711790,2.711790,0.384526,3974
2000-06-06,2.711790,2.711790,2.711790,2.711790,0.384526,0
2000-06-07,2.711790,2.711790,2.711790,2.711790,0.384526,5299
2000-06-08,2.711790,2.711790,2.711790,2.711790,0.384526,2649
2000-06-09,2.726610,2.726610,2.726610,2.726610,0.386627,9591
2000-06-12,2.726610,2.726610,2.726610,2.726610,0.386627,0
2000-06-13,2.726610,2.726610,2.726610,2.726610,0.386627,5696
2000-06-14,2.726610,2.756240,2.726610,2.756240,0.390829,7683
2000-06-15,2.726610,2.756240,2.726610,2.756240,0.390829,3974
2000-06-16,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-06-19,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-06-20,2.711790,2.756240,2.711790,2.756240,0.390829,2649
2000-06-21,2.711790,2.756240,2.711790,2.756240,0.390829,2649
2000-06-22,2.711790,2.756240,2.711790,2.756240,0.390829,2649
2000-06-23,2.711790,2.756240,2.711790,2.756240,0.390829,5140
2000-06-26,2.711790,2.711790,2.711790,2.711790,0.384526,6464
2000-06-27,2.726610,2.726610,2.726610,2.726610,0.386627,7630
2000-06-28,2.756240,2.756240,2.756240,2.756240,0.390829,6623
2000-06-29,2.711790,2.756240,2.711790,2.756240,0.390829,2649
2000-06-30,2.756240,2.756240,2.756240,2.756240,0.390829,7948
2000-07-03,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-07-04,2.756240,2.756240,2.756240,2.756240,0.390829,2782
2000-07-05,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-07-06,2.756240,2.756240,2.756240,2.756240,0.390829,2649
2000-07-07,2.756240,2.756240,2.756240,2.756240,0.390829,0
2000-07-10,2.696970,2.696970,2.696970,2.696970,0.382424,1855
2000-07-11,2.696970,2.696970,2.696970,2.696970,0.382424,159
2000-07-12,2.696970,2.696970,2.696970,2.696970,0.382424,0
2000-07-13,2.696970,2.696970,2.696970,2.696970,0.382424,265
2000-07-14,2.696970,2.696970,2.696970,2.696970,0.382424,2649
2000-07-17,2.696970,2.696970,2.696970,2.696970,0.382424,1987
2000-07-18,2.696970,2.696970,2.696970,2.696970,0.382424,13512
2000-07-19,2.696970,2.696970,2.696970,2.696970,0.382424,6040
2000-07-20,2.696970,2.696970,2.682150,2.682150,0.380323,7180
2000-07-21,2.682150,2.682150,2.682150,2.682150,0.380323,5299
2000-07-24,2.682150,2.682150,2.682150,2.682150,0.380323,0
2000-07-25,2.682150,2.682150,2.682150,2.682150,0.380323,742
2000-07-26,2.682150,2.682150,2.682150,2.682150,0.380323,795
2000-07-27,2.682150,2.682150,2.682150,2.682150,0.380323,0
2000-07-28,2.593240,2.593240,2.593240,2.593240,0.367716,21725
2000-07-31,2.593240,2.593240,2.593240,2.593240,0.367716,6623
2000-08-01,2.593240,2.593240,2.593240,2.593240,0.367716,2252
2000-08-02,2.578420,2.593240,2.578420,2.593240,0.367716,2119
2000-08-03,2.593240,2.593240,2.578420,2.593240,0.367716,3444
2000-08-04,2.548790,2.593240,2.548790,2.593240,0.367716,18784
2000-08-07,2.593240,2.593240,2.593240,2.593240,0.367716,0
2000-08-08,2.608060,2.608060,2.608060,2.608060,0.369817,5299
2000-08-09,2.608060,2.608060,2.608060,2.608060,0.369817,0
2000-08-10,2.608060,2.608060,2.608060,2.608060,0.369817,530
2000-08-11,2.608060,2.608060,2.608060,2.608060,0.369817,0
2000-08-14,2.608060,2.608060,2.608060,2.608060,0.369817,0
2000-08-15,2.608060,2.608060,2.608060,2.608060,0.369817,0
2000-08-16,2.608060,2.608060,2.608060,2.608060,0.369817,0
2000-08-17,2.608060,2.608060,2.608060,2.608060,0.369817,0
2000-08-18,2.622880,2.622880,2.622880,2.622880,0.371919,13247
2000-08-21,2.637700,2.682150,2.637700,2.682150,0.380323,6623
2000-08-22,2.682150,2.682150,2.682150,2.682150,0.380323,2914
2000-08-23,2.696970,2.696970,2.682150,2.682150,0.380323,1060
2000-08-24,2.696970,2.696970,2.682150,2.682150,0.380323,2119
2000-08-25,2.696970,2.696970,2.682150,2.682150,0.380323,1060
2000-08-28,2.682150,2.682150,2.682150,2.682150,0.380323,0
